class_gloss,video_count
farm,32
fail,32
fallingasleep,32
fault,32
explanation,32
favorite,32
videophone,32
experience,32
who,32
view,32
dependon,32
cookie,32
worm,32
coverup,32
creditcard,32
workout,32
work,32
dance,32
wish,32
wink,32
why,32
disappear,32
europe,32
dodo,32
which,32
dress,32
wear,32
each,32
eggbeater,32
egypt,32
embarrass,32
enter,32
vote,32
few,32
temptation,32
filter,32
steal,32
speakers,32
concept,32
mustache,32
motorcycle,32
mother,32
morning,32
sshh,32
sticky,32
lighter,32
stomach,32
strange,32
maybe,32
surprise,32
suspect,32
lookappearance,32
lipstick,32
north,32
society,32
other,32
pain,32
scared,32
shiny,32
red,32
recording,32
rain,32
pullconvince,32
psychology,32
ponder,32
play,32
sink,32
skate,32
person,32
pepsi,32
peekaboo,32
slow,32
switzerland,32
5dollars,32
veryinterested,32
future,32
grenade,32
travel,32
green,32
greece,32
gone,32
trouble,32
gift,32
friendly,32
laugh,32
fraction,32
four,32
two,32
understand,32
flute,32
university,32
finish,32
gullible,32
train,32
hammer,32
health,32
later,32
takecare,32
king,32
joke,32
team,32
invite,32
important,32
husband,32
sew,32
text,32
that,32
hope,32
things,32
hello,32
hearing,32
name,32
zoomoff,32
appear,32
butterfly,32
and,32
brother,32
channel,32
cancellation,32
cabinet,32
catholic,32
baseballcap,32
character,32
calltty,32
action,32
backout,32
after,32
boxing,32
advertise,32
behavior,32
chocolate,32
boy,32
chase,32
bottle,32
alphabet,32
brave,32
braids,32
cocaine,32
cheek,32
cocacola,32
angry,32
clear,32
alarm,32
bowl,32
blood,32
chain,32
allofsudden,32
apple,32
borrow,32
bath,32
cemetery,32
category,32
cigarette,32
anyone,32
cheesegrater,32
capture,32
complex,32
basement,32
close,32
because,32
poop,31
pizzacutter,31
place,31
binoculars,31
between,31
plan,31
policy,31
pity,31
planet,31
plummet,31
plant,31
bib,31
pole,31
plate,31
pointindex,31
plus,31
plunger,31
players,31
playground,31
pitcher,31
big,31
please,31
picture,31
pissedoff,31
pay,31
pencil,31
pen,31
black,31
blame,31
peck,31
peacock,31
peace,31
passport,31
penny,31
passout,31
parents,31
paragraph,31
blind,31
papercutter,31
paper,31
pancake,31
penis,31
people,31
pirate,31
pick,31
biology,31
pink,31
bird,31
birthday,31
pill,31
pile,31
pie,31
piano,31
pepper,31
physics,31
philosophy,31
bison,31
persuade,31
period,31
biteonarm,31
perfect,31
better,31
pretend,31
popcorn,31
become,31
retrieve,31
retire,31
result,31
restaurant,31
restallday,31
responsibility,31
resign,31
remove,31
really,31
remotecontrol,31
religion,31
release,31
regular,31
register,31
record,31
recite,31
rich,31
beaver,31
ring,31
beard,31
ruler,31
rule,31
rude,31
row,31
rough,31
rose,31
rope,31
roll,31
beanie,31
beans,31
rock,31
robot,31
rob,31
roast,31
road,31
reason,31
read,31
popular,31
blond,31
project,31
producesign,31
priority,31
print,31
priest,31
pride,31
price,31
press,31
react,31
prefer,31
precious,31
prayer,31
practice,31
powder,31
possum,31
possible,31
promise,31
promote,31
propeller,31
protection,31
behind,31
range,31
rake,31
bell,31
radio,31
quit,31
quiet,31
quality,31
qm,31
push,31
purple,31
punish,31
pumpkin,31
provide,31
protest,31
paintbrush,31
offthepoint,31
page,31
loud,31
brainwash,31
magazine,31
machine,31
lungs,31
lucky,31
luck,31
lousy,31
lost,31
maid,31
losegame,31
lose,31
lookat,31
bread,31
longword,31
longline,31
lollipop,31
brainstorm,31
mainstream,31
livingroom,31
brag,31
metal,31
mess,31
memorizememorize,31
memorize,31
melt,31
megaphone,31
medicine,31
me,31
make,31
mcdonalds,31
math,31
mascara,31
marionette,31
maple,31
many,31
man,31
breaktime,31
list,31
own,31
label,31
law,31
building,31
late,31
last,31
laptop,31
land,31
bull,31
know,31
laydown,31
bullshit,31
bumpy,31
kneel,31
kitten,31
kitchen,31
kissfist,31
bus,31
lawnmower,31
lazy,31
bridesmaid,31
license,31
lipread,31
lion,31
lightning,31
bright,31
light,31
bring,31
lie,31
library,31
learn,31
letmesee,31
letgo,31
budget,31
left,31
leavealone,31
leather,31
learnlesson,31
metaphor,31
box,31
bowtie,31
notinterested,31
often,31
offend,31
off,31
octopus,31
blue,31
notyet,31
notusedto,31
blur,31
ok,31
notathing,31
nosebleed,31
nose,31
normal,31
nonsense,31
none,31
nine,31
blowmind,31
one,31
microwave,31
orangeeyes,31
owe,31
overwhelmed,31
our,31
ostrich,31
organization,31
bloom,31
orangethroat,31
orange,31
blow,31
rush,31
or,31
opportunity,31
open,31
oops,31
onlyone,31
onion,31
niece,31
nice,31
next,31
misunderstand,31
mosquito,31
more,31
both,31
monkey,31
monday,31
mock,31
bottom,31
mischievous,31
new,31
mirror,31
minute,31
bounce,31
mine,31
mindturned,31
mind,31
middle,31
most,31
boss,31
book,31
mouse,31
never,31
neutral,31
network,31
near,31
napkin,31
boilingmad,31
nailclipper,31
myself,31
bolt,31
must,31
museum,31
much,31
movedown,31
move,31
mouth,31
beak,31
scarcely,31
beach,31
allgone,31
alcohol,31
align,31
alittlebit,31
all,31
triangle,31
translate,31
transfer,31
tradition,31
truth,31
tractor,31
allover,31
tournament,31
top,31
toomuch,31
tongue,31
tomato,31
true,31
tty,31
tobacco,31
uncle,31
valley,31
vain,31
vacuum,31
vacation,31
us,31
upload,31
undergraduate,31
uncertain,31
tube,31
umbrella,31
udder,31
twomore,31
twirl,31
turtle,31
turn,31
tuesday,31
toilet,31
toast,31
verb,31
technology,31
america,31
tent,31
tennis,31
tendyour,31
analyze,31
temperblowup,31
teenager,31
tease,31
thanksgiving,31
teacher,31
animal,31
announce,31
answer,31
takenotes,31
any,31
sympathy,31
than,31
thankyou,31
tiredof,31
alone,31
tiny,31
timetotime,31
time,31
tiger,31
ticket,31
allway,31
three,31
thinkponder,31
then,31
thinkover,31
thinkconnect,31
thinkchin,31
think,31
alright,31
always,31
therapy,31
vegetable,31
vest,31
sailboat,31
window,31
absolutelynothing,31
word,31
wonder,31
wolf,31
access,31
winter,31
wine,31
wind,31
world,31
win,31
willgo,31
accordion,31
whole,31
accountant,31
whiteperson,31
whisper,31
above,31
abbreviate,31
act,31
you,31
zoo,31
zero,31
zebra,31
yucky,31
yoyo,31
yourself,31
your,31
yellow,31
wow,31
year,31
8hour,31
writeonwall,31
write,31
9oclock,31
wring,31
wrestle,31
whip,31
where,31
vibrate,31
walk-tightrope-cl,31
washhands,31
washdishes,31
warn,31
warm,31
admit,31
wander,31
wall,31
advantage,31
waste,31
vomit,31
voice,31
vlog,31
vitamins,31
visitor,31
violin,31
africa,31
washmachine,31
watch,31
when,31
week,31
wheelchair,31
whatever,31
actor,31
whale,31
wewillsee,31
add,31
weigh,31
wednesday,31
waterdrop,31
wedding,31
weave,31
addict,31
weak,31
we,31
wave,31
waterski,31
sword,31
sweetheart,31
sweep,31
bacon,31
signature,31
sign,31
sideburns,31
side,31
sick,31
shy,31
shrimp,31
shot,31
sing,31
shorts,31
shortperson,31
shortdistance,31
shocked,31
bald,31
shelf,31
sheep,31
since,31
sister,31
bandage,31
bachelor,31
smart,31
small,31
award,31
slipper,31
slingshot,31
awkward,31
babysitter,31
slave,31
sit,31
skin,31
skill,31
ski-ca,31
ski,31
back,31
six,31
situation,31
balloon,31
bank,31
sweatpants,31
sausage,31
scold,31
scissors,31
science,31
basic,31
key,31
bathroom,31
save,31
sauce,31
scratch,31
sarcastic,31
santa,31
sametime,31
samesame,31
battery,31
saltshaker,31
salt,31
scoop,31
scream,31
bar,31
select,31
share,31
barely,31
setup,31
baseball,31
send,31
senate,31
self,31
seesee,31
script,31
seem,31
see,31
secretary,31
seal,31
sculpture,31
sculpt,31
scrub,31
smell,31
smellmoney,31
awake,31
ask,31
straight,31
stop,31
asia,31
stockings,31
stir,31
stink,31
sting,31
assembly,31
strangle,31
step,31
stayawake24hrs,31
state,31
stars,31
starbucks,31
star,31
stand-up,31
article,31
street,31
smooth,31
sunrise,31
suspend,31
sushi,31
surgeon,31
surf,31
area,31
supervisor,31
superior,31
summarize,31
stress,31
suckthumb,31
suck,31
subtract,31
arizona,31
stripe,31
string,31
army,31
assist,31
assistant,31
stairs,31
aunt,31
sophisticated,31
son,31
something,31
auditorium,31
some,31
sofa,31
socks,31
socialize,31
astronaut,31
automatic,31
snowsuit,31
snowboard,31
snorkel,31
avoid,31
sneakadventure,31
snap,31
sophomore,31
soup,31
space,31
spaceship,31
at,31
squirrel,31
squeeze,31
squareidiot,31
spotsomething,31
sports,31
spoon,31
spontaneous,31
spitout,31
spider,31
spicy,31
spend,31
attitude,31
spain,31
spaghetti,31
keyboard,31
1dollar,31
floor,31
dragon,31
grass,31
gray,31
clap,31
carve,31
dream,31
carousel,31
careful,31
grieve,31
group,31
grow,31
drawer,31
clash,31
destroy,31
cards,31
guide,31
downhill,31
carbattery,31
guilty,31
guitar,31
doubt,31
double,31
door,31
donut,31
habit,31
grasp,31
casual,31
dresser,31
dressup,31
glove,31
glow,31
go,31
dryer,31
goat,31
gobackandforth,31
goingthroughahardtime,31
drum,31
golf,31
good,31
goodygoody,31
goosebumps,31
gorilla,31
drip,31
gothrough,31
gotojail,31
government,31
circuswheel,31
drill,31
grab,31
grade,31
graduate,31
grammar,31
dontwant,31
dontmind,31
dontlike,31
disappoint,31
heap,31
camping,31
hearingaid,31
click,31
client,31
heart,31
heartbody,31
climbladder,31
heaven,31
heavy,31
digup,31
dig,31
differentsituation,31
camera,31
different,31
die,31
help,31
hen,31
here,31
hide,31
devour,31
highlighter,31
highschool,31
cleftchin,31
headphones,31
dontknow,31
headgrind,31
dontfeellike,31
clean,31
hamster,31
handcuffs,31
hands,31
handsoap,31
cannot,31
divorce,31
divide,31
hanukkah,31
happy,31
hard,31
hardofhearing,31
harmonica,31
disrupt,31
hate,31
disney,31
dislike,31
discuss,31
hawaii,31
head,31
headache,31
headcold,31
glasses,31
cigar,31
catepillar,31
fish,31
eyeturn,31
eyesawake,31
eyeglasses,31
challenge,31
flip,31
flipflops,31
explode,31
flipswitch,31
experiment,31
flower,31
expect,31
exercise,31
fond,31
fool,31
example,31
everyyear,31
forbid,31
everynight,31
everyday,31
forgetful,31
cellphone,31
foul,31
even,31
champion,31
face,31
escape,31
first,31
chat,31
cheap,31
fat,31
feedback,31
feel,31
charge,31
fiance,31
fast,31
fashion,31
fascinated,31
far,31
fight,31
figure,31
fantasy,31
fillout,31
film,31
finance,31
find,31
cheer,31
fake,31
fire,31
fair,31
chance,31
evaluate,31
escalator,31
giveup,31
gallaudet,31
gamble,31
chopsticks,31
garage,31
edge,31
easytodo,31
gas,31
easy,31
gate,31
east,31
easel,31
gay,31
generation,31
germany,31
earthquake,31
earring,31
get,31
getinbed,31
getthrough,31
gettogether,31
ghost,31
early,31
giraffe,31
churn,31
egg,31
chop,31
fourth,31
eight,31
fox,31
eraser,31
child,31
fraud,31
freakout,31
freckles,31
frenchfries,31
enough,31
enginestart,31
friendsnomore,31
engineer,31
fringe,31
energy,31
enemy,31
frog,31
from,31
end,31
emphasis,31
front,31
emotion,31
elegance,31
electrician,31
either,31
hinge,31
hall,31
institute,31
closeeyes,31
comment,31
intuitive,31
committee,31
delicious,31
in,31
hop,31
hummingbird,31
copy,31
deep,31
cooperate,31
japan,31
introduce,31
jar,31
demote,31
inch,31
clothes,31
comehere,31
hungry,31
jealous,31
communication,31
honor,31
hunt,31
cook,31
curlyhair,31
jewelry,31
jewish,31
improve,31
crack,31
comeout,31
corner,31
date,31
buy,31
cough,31
butter,31
cutremovevid,31
coconut,31
count,31
couch,31
hotel,31
cafeteria,31
impossible,31
hotdog,31
deflate,31
cut,31
hot,31
isolated,31
cake,31
invest,31
country,31
howl,31
degree,31
hug,31
cost,31
italy,31
hose,31
honk,31
interest,31
hoe,31
crossheart,31
hypocrite,31
influence,31
judge,31
callattention,31
hockey,31
inhale,31
connection,31
intervene,31
college,31
congratulations,31
cold,31
instagram,31
holdaccountable,31
inspiring,31
depress,31
interested,31
confidential,31
confident,31
complain,31
cousin,31
camcorder,31
history,31
jump,31
concerned,31
interview,31
icecream,31
desert,31
crocodile,31
jigsawpuzzle,31
continue,31
coins,31
ignore,31
clown,31
home,31
independent,31
deafschool,31
junior,31
contactlens,31
identity,31
deny,31
holdtogether,31
inept,31
consume,31
comfortable,31
holdhands,31
decline,31
crumple,31
busy,31
department,31
depth,31
emperor,30
athlete,30
spring,30
wife,30
spendlotsofmoney,30
engagement,30
chin,30
atlanta,30
will,30
whynot,30
splash-ca,30
wide,30
square,30
unaware,30
start,30
china,30
crewcut,30
effect,30
still,30
stimulate,30
create,30
color,30
church,30
wheelbarrow,30
wheel,30
easter,30
email,30
stopwatch,30
articulatesign,30
art,30
crown,30
wet,30
straw,30
earth,30
earsup,30
come,30
while,30
steam,30
assign,30
eleven,30
elephant,30
stadium,30
staff,30
elementaryschool,30
cranky,30
electrocute,30
crash,30
stapler,30
white,30
acquire,30
stare,30
choke,30
cow,30
ego,30
stay,30
crashplane,30
cowboy,30
wise,30
specific,30
specialist,30
family,30
single,30
singleout,30
backup,30
siren,30
wrong,30
faint,30
cheese,30
fade,30
commute,30
community,30
eyes,30
skirt,30
skunk,30
a-linebob,30
wrap,30
express,30
sleep,30
worse,30
contact,30
silver,30
silly,30
shower,30
zoomin,30
faucet,30
shortword,30
zipper,30
should,30
bad,30
backyard,30
show,30
compass,30
signpaper,30
shutout,30
check,30
young,30
yesterday,30
fan,30
yes,30
famous,30
signingfluently,30
away,30
experienced,30
expensive,30
environment,30
strict,30
soft,30
softball,30
sometimes,30
windy,30
audience,30
windowopen,30
equal,30
sorry,30
counselor,30
sound,30
children,30
sour,30
south,30
sow,30
chimney,30
english,30
attention,30
soda,30
chew2mouth,30
workshop,30
everything,30
excuse,30
excited,30
smoke,30
snail,30
snake,30
evidence,30
snapstick,30
wood,30
snob,30
accept,30
average,30
accent,30
snowman,30
event,30
so,30
without,30
with,30
australia,30
west,30
sunday,30
earmuffs,30
timeprogress,30
distracted,30
tired,30
dissolve,30
tissue,30
afternoon,30
very,30
toagoal,30
dissect,30
delinquent,30
today,30
together,30
dispatch,30
vase,30
tomorrow,30
vanish,30
vanilla,30
toothbrush,30
vampire,30
toothbrush-ca,30
disconnect,30
topic,30
dive,30
timeout,30
defeat,30
deliberate,30
dontcare,30
donkey,30
dominant,30
clause,30
shooting,30
thinkobsess,30
thinkpenetrate,30
claw,30
doesntmatter,30
this/it,30
thoughtdisappear,30
thrilled,30
document,30
throwaway,30
thunder,30
thursday,30
dizzy,30
tickle,30
alltogether,30
alloverbody,30
delegate,30
value,30
tornado,30
toss,30
tossout,30
universe,30
unique,30
try,30
dictionary,30
dice,30
age,30
tubetop,30
agency,30
diaper,30
turban,30
alaska,30
diamond,30
turnaround,30
turnkey,30
clip,30
under,30
airplane,30
twoofus,30
twoweeks,30
dessert,30
ugly,30
truebusiness,30
against,30
until,30
director,30
total,30
touch,30
tough,30
validate,30
dent,30
towel,30
vagina,30
disagreement,30
dirty,30
traffic,30
trophy,30
closedoor,30
transgender,30
use,30
deodorant,30
trash,30
allday,30
diningroom,30
dilemma,30
up,30
thin,30
vision,30
well,30
duty,30
dumb,30
due,30
sure,30
curtain,30
dry,30
surgery,30
archeology,30
drunk,30
april,30
coffee,30
appointment,30
swallow,30
way,30
swearin,30
sweat,30
drug,30
circle,30
sweatshirt,30
drop,30
drive,30
water,30
supervise,30
sunset,30
these,30
dye,30
strong,30
structure,30
struggle,30
stubborn,30
weird,30
weight,30
stuck,30
student,30
study,30
stumble,30
ear,30
weekend,30
eachother,30
suit,30
culture,30
cup,30
curious,30
summer,30
summon,30
argue,30
design,30
apart,30
damn,30
dancer,30
danger,30
w.h.a.t,30
angel,30
volunteer,30
class,30
volleyball,30
download,30
teeth,30
tell,30
vocabulary,30
temporary,30
tendency,30
dormitory,30
test,30
visualize,30
deer,30
dontneed,30
theatre,30
theory,30
visit,30
there,30
thermometer,30
wait,30
waiter,30
tea,30
wand,30
address,30
admire,30
daughter,30
system,30
table,30
war,30
coach,30
take,30
antlers,30
walrus,30
tape,30
takepill,30
wallet,30
dealcards,30
talkdirty,30
dreadlocks,30
death,30
tan,30
adopt,30
tanktop,30
badge,30
business,30
balance,30
notmind,30
nobigdeal,30
noise,30
camel,30
board,30
noose,30
blush,30
hell,30
cameraman,30
not,30
notcare,30
nothingatall,30
hearttouch,30
notunderstand,30
on,30
now,30
numbers,30
nurse,30
obsess,30
obvious,30
ocean,30
canada,30
offhand,30
office,30
computermouse,30
ohisee,30
old,30
no,30
boat,30
nextyear,30
nextto,30
holiday,30
bomb,30
mummy,30
murder,30
muscle,30
mushroom,30
my,30
hitchhike,30
nail,30
calm,30
naked,30
his,30
navel,30
navy,30
neck,30
body,30
need,30
needle,30
nephew,30
nerve,30
net,30
highheels,30
newspaper,30
newstome,30
newyork,30
oldest,30
once,30
growup,30
haircut,30
bless,30
pass,30
shoes,30
past,30
half,30
payoffbills,30
caption,30
blanket,30
hairdresser,30
peanutbutter,30
pear,30
blank,30
hairclipper,30
headback,30
blackbird,30
haha,30
hadenough,30
penguin,30
gym,30
gum,30
caraccident,30
biteonneck,30
permission,30
bitch,30
perspective,30
pharmacist,30
park,30
paranoid,30
parallel,30
hamburger,30
oneyearago,30
he,30
ooh,30
have,30
openbook,30
openwallet,30
operatemachine,30
blouse,30
option,30
candle,30
oral,30
cannon,30
harp,30
happen,30
outside,30
over,30
overlook,30
overnight,30
hang,30
pack,30
pageant,30
handsoff,30
pair,30
blink,30
parade,30
holy,30
bone,30
honest,30
line,30
lend,30
lesbian,30
lesson,30
invisible,30
bubbles,30
brown,30
interpreter,30
interpret,30
internet,30
lightson,30
like,30
limited,30
linguistics,30
hongkong,30
intentional,30
lips,30
intelligent,30
insurance,30
listen,30
brick,30
insult,30
breathe,30
break,30
locker,30
instinct,30
lonely,30
leave,30
israel,30
leak,30
league,30
jumprope,30
kid,30
kill,30
kindergarten,30
burp,30
burn,30
busted,30
kissoncheek,30
juggler,30
journey,30
bulldozer,30
knock,30
knockoff,30
join,30
knownothing,30
language,30
jellyfish,30
jelly,30
lastweek,30
jawdrop,30
bug,30
lawyer,30
but,30
lead,30
buffalo,30
long,30
instead,30
inspire,30
bracelet,30
ice,30
bye,30
hurt,30
melon,30
hurry,30
member,30
hurricane,30
mention,30
hundred,30
humor,30
microphone,30
mime,30
house,30
hour,30
miss,30
missing,30
horrible,30
calculator,30
bother,30
california,30
monster,30
month,30
moose,30
hood,30
boston,30
boyfriend,30
meaculpa,30
lookback,30
if,30
lookfor,30
lookforward,30
looklike,30
inside,30
innocent,30
inject,30
love,30
loyal,30
infection,30
indian,30
incredible,30
mad,30
impress,30
braille,30
mailman,30
major,30
buttons,30
impact,30
manage,30
immerse,30
immature,30
march,30
marry,30
iloveyou,30
massage,30
philadelphia,30
computer,30
beer,30
pull,30
funny,30
ready,30
function,30
reallyinto,30
realsick,30
fun,30
fit,30
fry,30
frustrate,30
scientist,30
beg,30
before,30
redfaced,30
reduce,30
reflect,30
fix,30
refrigerator,30
refuse,30
fruit,30
school,30
relationship,30
score,30
reach,30
caught,30
queen,30
fins,30
punchface,30
gateclose,30
put,30
putaside,30
putinbackmind,30
puzzled,30
form,30
quarter,30
scrolldown,30
rat,30
garlic,30
bend,30
fired,30
game,30
firetruck,30
rainbow,30
raisin,30
fuzzy,30
scout,30
scarmemory,30
champ,30
relief,30
celery,30
risk,30
bear,30
football,30
frame,30
for,30
sad,30
russia,30
runoutof,30
role,30
rollerblading,30
cereal,30
center,30
rollerskating,30
rollupsleeves,30
roof,30
forest,30
room,30
roommate,30
rooster,30
ruin,30
salad,30
beat,30
fromthenon,30
rest,30
bedroom,30
scan,30
saxophone,30
savemoney,30
request,30
rescue,30
chair,30
resist,30
saturday,30
fly,30
freedom,30
ceiling,30
bathtub,30
restless,30
friday,30
certificate,30
revenge,30
freeze,30
ribbonaward,30
freeway,30
benefit,30
qtip,30
gold,30
goal,30
catapult,30
barrette,30
poolgame,30
public,30
fencing,30
seven,30
serious,30
sequence,30
pope,30
porcupine,30
sensitive,30
goatee,30
seniorcitizen,30
birth,30
chaos,30
postpone,30
carry,30
fifth,30
goodygoodyshoeopposite,30
great,30
gotcha,30
plain,30
graduateschool,30
platform,30
bind,30
plenty,30
pliers,30
grandfather,30
shameonyou,30
point,30
shame,30
bicycle,30
shakespeare,30
shape,30
gossip,30
grandparents,30
pinon,30
bet,30
potato,30
girl,30
getoff,30
power,30
prison,30
pickle,30
best,30
fingerspelling,30
profoundlydeaf,30
program,30
proof,30
prince,30
getinformationoutof,30
propose,30
gesture,30
proximalization,30
grind,30
photography,30
berry,30
principal,30
pjs,30
picnic,30
fingerscrossed,30
greenbeans,30
goahead,30
chargecard,30
finger,30
predict,30
fedup,30
pregnant,30
pig,30
fingerspell,30
secret,30
pretty,30
give,30
shampoo,29
safe,29
father,29
smoking,29
forfeit,29
conflict,29
shield,29
longtime,29
february,29
bun,29
runfaucet,29
change,29
longago,29
juggle,29
iphone,29
lecture,29
less,29
island,29
letknow,29
accident,29
brush,29
faculty,29
accomplish,29
lightcandle,29
finally,29
itch,29
worry,29
sell,29
lightweight,29
signlanguage,29
several,29
yay,29
expert,29
yeah,29
keep,29
crazy,29
cherish,29
sandals,29
focus,29
weather,29
draw,29
magic,29
nextdown,29
positive,29
owl,29
overtake,29
to,29
preacher,29
hatbrim,29
catchbaseball,29
sun,29
president,29
pressinmind,29
process,29
earn,29
stretch-ca,29
psychologist,29
arrive,29
tree,29
triple,29
eclipse,29
race,29
paint,29
god,29
poor,29
amazing,29
tear,29
taste,29
persistent,29
percent,29
down,29
perceive,29
car,29
grandmother,29
tablet,29
canoe,29
dribble,29
bleed,29
sweet,29
thinkexpand,29
doll,29
cape,29
thirsty,29
polish,29
former,29
racecartrack,29
high,29
free,29
village,29
friend,29
humble,29
enjoy,29
french,29
clueless,29
adult,29
meeting,29
meet,29
france,29
tv,29
idea,29
celebrate,29
match,29
chicago,29
day,29
escalate,29
dart,29
makebelieve,29
social,29
hotcompetition,29
videogame,29
respect,29
horse,29
devil,29
steak,29
negative,29
agreement,29
furniture,29
full,29
unicorn,29
music,29
again,29
cause,29
homework,29
phone,29
remind,29
moon,29
replace,29
frisk,29
resent,29
halfhour,29
out,28
ball,28
hangclothes,28
